"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 22:24:51 IST 2024","Fri Jan 05 22:25:30 IST 2024","38952","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Medium to cart Qty - 2",""
"passed","Fri Jan 05 22:25:24 IST 2024","Fri Jan 05 22:26:04 IST 2024","39870","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Medium to cart Qty - 4",""
"passed","Fri Jan 05 22:23:19 IST 2024","Fri Jan 05 22:24:08 IST 2024","48945","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Small to cart Qty - 1",""
"passed","Fri Jan 05 22:24:09 IST 2024","Fri Jan 05 22:24:51 IST 2024","41821","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Small to cart Qty - 8",""
"passed","Fri Jan 05 22:27:17 IST 2024","Fri Jan 05 22:27:48 IST 2024","31198","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Extra Large to cart Qty - 2",""
"passed","Fri Jan 05 22:24:46 IST 2024","Fri Jan 05 22:25:24 IST 2024","38158","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Medium to cart Qty - 1",""
"passed","Fri Jan 05 22:25:30 IST 2024","Fri Jan 05 22:26:15 IST 2024","45684","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Medium to cart Qty - 8",""
"passed","Fri Jan 05 22:26:15 IST 2024","Fri Jan 05 22:26:45 IST 2024","30108","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Large to cart Qty - 2",""
"passed","Fri Jan 05 22:26:46 IST 2024","Fri Jan 05 22:27:17 IST 2024","31671","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Large to cart Qty - 8",""
"passed","Fri Jan 05 22:24:08 IST 2024","Fri Jan 05 22:24:46 IST 2024","37910","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Small to cart Qty - 4",""
"passed","Fri Jan 05 22:27:06 IST 2024","Fri Jan 05 22:27:37 IST 2024","30647","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Extra Large to cart Qty - 1",""
"passed","Fri Jan 05 22:22:48 IST 2024","Fri Jan 05 22:23:24 IST 2024","35995","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Extra Small to cart Qty - 4",""
"passed","Fri Jan 05 22:21:57 IST 2024","Fri Jan 05 22:22:48 IST 2024","50448","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Extra Small to cart Qty - 2",""
"passed","Fri Jan 05 22:26:04 IST 2024","Fri Jan 05 22:26:35 IST 2024","31595","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Large to cart Qty - 1",""
"passed","Fri Jan 05 22:22:48 IST 2024","Fri Jan 05 22:23:19 IST 2024","30985","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Extra Small to cart Qty - 8",""
"passed","Fri Jan 05 22:26:35 IST 2024","Fri Jan 05 22:27:06 IST 2024","31053","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Large to cart Qty - 4",""
"passed","Fri Jan 05 22:21:57 IST 2024","Fri Jan 05 22:22:48 IST 2024","50604","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Extra Small to cart Qty - 1",""
"passed","Fri Jan 05 22:27:37 IST 2024","Fri Jan 05 22:28:08 IST 2024","30791","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Extra Large to cart Qty - 4",""
"passed","Fri Jan 05 22:27:48 IST 2024","Fri Jan 05 22:28:18 IST 2024","30039","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Extra Large to cart Qty - 8",""
"passed","Fri Jan 05 22:23:24 IST 2024","Fri Jan 05 22:24:09 IST 2024","45129","chromium","cart\combo\addallsku\allsizes\as580588600allsize.spec.ts","","","","Add all Skus of size Small to cart Qty - 2",""
