"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 01:11:50 IST 2024","Fri Jan 05 01:12:16 IST 2024","26159","chromium","cart\as580\AS580cart.spec.ts","","","","AS580 Add to cart Extra Small Qty - 2",""
"passed","Fri Jan 05 02:21:51 IST 2024","Fri Jan 05 02:22:12 IST 2024","20996","chromium","cart\as580\m\as580m.spec.ts","","","","AS580 Add to cart M Qty - 3",""
"passed","Fri Jan 05 01:25:22 IST 2024","Fri Jan 05 01:25:46 IST 2024","23713","chromium","cart\as580\s\as580s.spec.ts","","","","AS580 Add to cart Extra Small Qty - 2",""
"passed","Fri Jan 05 01:11:27 IST 2024","Fri Jan 05 01:11:50 IST 2024","22937","chromium","cart\as580\AS580cart.spec.ts","","","","AS580 Add to cart Extra Small Qty - 0",""
"passed","Fri Jan 05 02:23:14 IST 2024","Fri Jan 05 02:23:36 IST 2024","21620","chromium","cart\as580\xl\as580xl.spec.ts","","","","AS580 Add to cart XL Qty - 2",""
"passed","Fri Jan 05 01:24:35 IST 2024","Fri Jan 05 01:25:02 IST 2024","27088","chromium","cart\as580\m\as580m.spec.ts","","","","AS580 Add to cart Extra Small Qty - 3",""
"passed","Fri Jan 05 02:23:40 IST 2024","Fri Jan 05 02:24:01 IST 2024","21637","chromium","cart\as580\xs\as580xs.spec.ts","","","","AS580 Add to cart XS Qty - 1",""
"passed","Fri Jan 05 02:23:18 IST 2024","Fri Jan 05 02:23:39 IST 2024","21460","chromium","cart\as580\xl\as580xl.spec.ts","","","","AS580 Add to cart XL Qty - 3",""
"passed","Fri Jan 05 01:24:09 IST 2024","Fri Jan 05 01:24:35 IST 2024","26172","chromium","cart\as580\m\as580m.spec.ts","","","","AS580 Add to cart Extra Small Qty - 1",""
"passed","Fri Jan 05 02:22:31 IST 2024","Fri Jan 05 02:22:53 IST 2024","21916","chromium","cart\as580\s\as580s.spec.ts","","","","AS580 Add to cart S Qty - 2",""
"passed","Fri Jan 05 01:26:15 IST 2024","Fri Jan 05 01:26:36 IST 2024","21591","chromium","cart\as580\xl\as580xl.spec.ts","","","","AS580 Add to cart Extra Small Qty - 3",""
"passed","Fri Jan 05 01:25:46 IST 2024","Fri Jan 05 01:26:10 IST 2024","23812","chromium","cart\as580\xl\as580xl.spec.ts","","","","AS580 Add to cart Extra Small Qty - 0",""
"passed","Fri Jan 05 01:23:09 IST 2024","Fri Jan 05 01:23:41 IST 2024","32183","chromium","cart\as580\l\as580l.spec.ts","","","","AS580 Add to cart Extra Small Qty - 1",""
"passed","Fri Jan 05 01:26:59 IST 2024","Fri Jan 05 01:27:22 IST 2024","22761","chromium","cart\as580\xs\as580xs.spec.ts","","","","AS580 Add to cart Extra Small Qty - 3",""
"passed","Fri Jan 05 02:21:47 IST 2024","Fri Jan 05 02:22:09 IST 2024","21511","chromium","cart\as580\m\as580m.spec.ts","","","","AS580 Add to cart M Qty - 2",""
"passed","Fri Jan 05 02:23:36 IST 2024","Fri Jan 05 02:23:58 IST 2024","21813","chromium","cart\as580\xs\as580xs.spec.ts","","","","AS580 Add to cart XS Qty - 0",""
"passed","Fri Jan 05 01:23:09 IST 2024","Fri Jan 05 01:23:40 IST 2024","31275","chromium","cart\as580\l\as580l.spec.ts","","","","AS580 Add to cart Extra Small Qty - 0",""
"passed","Fri Jan 05 02:20:40 IST 2024","Fri Jan 05 02:21:05 IST 2024","24658","chromium","cart\as580\l\as580l.spec.ts","","","","AS580 Add to cart L Qty - 0",""
"passed","Fri Jan 05 02:22:34 IST 2024","Fri Jan 05 02:22:54 IST 2024","20182","chromium","cart\as580\s\as580s.spec.ts","","","","AS580 Add to cart S Qty - 3",""
"passed","Fri Jan 05 01:23:40 IST 2024","Fri Jan 05 01:24:09 IST 2024","28700","chromium","cart\as580\l\as580l.spec.ts","","","","AS580 Add to cart Extra Small Qty - 2",""
"passed","Fri Jan 05 01:23:41 IST 2024","Fri Jan 05 01:24:05 IST 2024","24271","chromium","cart\as580\l\as580l.spec.ts","","","","AS580 Add to cart Extra Small Qty - 3",""
"passed","Fri Jan 05 02:22:53 IST 2024","Fri Jan 05 02:23:14 IST 2024","21547","chromium","cart\as580\xl\as580xl.spec.ts","","","","AS580 Add to cart XL Qty - 0",""
"passed","Fri Jan 05 01:11:51 IST 2024","Fri Jan 05 01:12:15 IST 2024","24815","chromium","cart\as580\AS580cart.spec.ts","","","","AS580 Add to cart Extra Small Qty - 3",""
"passed","Fri Jan 05 02:21:04 IST 2024","Fri Jan 05 02:21:28 IST 2024","23841","chromium","cart\as580\l\as580l.spec.ts","","","","AS580 Add to cart L Qty - 2",""
