"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 13:05:19 IST 2024","Fri Jan 05 13:05:49 IST 2024","30052","chromium","cart\as600\xl\as600xl.spec.ts","","","","AS600 Add to cart XL Qty - 0",""
"skipped","Fri Jan 05 12:58:07 IST 2024","Fri Jan 05 12:58:07 IST 2024","1","chromium","cart\as600\s\as600s.spec.ts","","","","AS600 Add to cart S Qty - 2",""
"skipped","Fri Jan 05 12:58:07 IST 2024","Fri Jan 05 12:58:07 IST 2024","2","chromium","cart\as600\l\as600l.spec.ts","","","","AS600 Add to cart L Qty - 2",""
"skipped","Fri Jan 05 12:58:07 IST 2024","Fri Jan 05 12:58:07 IST 2024","1","chromium","cart\as600\l\as600l.spec.ts","","","","AS600 Add to cart L Qty - 3",""
"skipped","Fri Jan 05 12:58:07 IST 2024","Fri Jan 05 12:58:07 IST 2024","1","chromium","cart\as600\s\as600s.spec.ts","","","","AS600 Add to cart S Qty - 3",""
"skipped","Fri Jan 05 12:58:07 IST 2024","Fri Jan 05 12:58:07 IST 2024","2","chromium","cart\as600\m\as600m.spec.ts","","","","AS600 Add to cart M Qty - 0",""
"skipped","Fri Jan 05 12:58:07 IST 2024","Fri Jan 05 12:58:07 IST 2024","2","chromium","cart\as600\s\as600s.spec.ts","","","","AS600 Add to cart S Qty - 0",""
"skipped","Fri Jan 05 12:58:07 IST 2024","Fri Jan 05 12:58:07 IST 2024","4","chromium","cart\as600\s\as600s.spec.ts","","","","AS600 Add to cart S Qty - 1",""
"skipped","Fri Jan 05 12:58:07 IST 2024","Fri Jan 05 12:58:07 IST 2024","2","chromium","cart\as600\m\as600m.spec.ts","","","","AS600 Add to cart M Qty - 3",""
"passed","Fri Jan 05 13:05:19 IST 2024","Fri Jan 05 13:05:48 IST 2024","29336","chromium","cart\as600\xl\as600xl.spec.ts","","","","AS600 Add to cart XL Qty - 1",""
"passed","Fri Jan 05 13:05:48 IST 2024","Fri Jan 05 13:06:16 IST 2024","27497","chromium","cart\as600\xl\as600xl.spec.ts","","","","AS600 Add to cart XL Qty - 2",""
"passed","Fri Jan 05 13:05:49 IST 2024","Fri Jan 05 13:06:16 IST 2024","27607","chromium","cart\as600\xl\as600xl.spec.ts","","","","AS600 Add to cart XL Qty - 3",""
"failed","Fri Jan 05 12:57:44 IST 2024","Fri Jan 05 12:58:04 IST 2024","19114","chromium","cart\as600\l\as600l.spec.ts","","","","AS600 Add to cart L Qty - 0",""
"skipped","Fri Jan 05 12:58:07 IST 2024","Fri Jan 05 12:58:07 IST 2024","2","chromium","cart\as600\m\as600m.spec.ts","","","","AS600 Add to cart M Qty - 2",""
"failed","Fri Jan 05 12:57:44 IST 2024","Fri Jan 05 12:58:04 IST 2024","19587","chromium","cart\as600\l\as600l.spec.ts","","","","AS600 Add to cart L Qty - 1",""
"skipped","Fri Jan 05 12:58:07 IST 2024","Fri Jan 05 12:58:07 IST 2024","1","chromium","cart\as600\m\as600m.spec.ts","","","","AS600 Add to cart M Qty - 1",""
