"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 06 01:02:32 IST 2024","Sat Jan 06 01:03:04 IST 2024","31632","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Medium to cart Qty - 8",""
"passed","Sat Jan 06 01:00:26 IST 2024","Sat Jan 06 01:00:54 IST 2024","28203","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Extra Small to cart Qty - 8",""
"passed","Sat Jan 06 01:02:59 IST 2024","Sat Jan 06 01:03:31 IST 2024","31239","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Large to cart Qty - 1",""
"passed","Sat Jan 06 01:04:02 IST 2024","Sat Jan 06 01:04:41 IST 2024","39173","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Extra Large to cart Qty - 1",""
"passed","Sat Jan 06 01:01:55 IST 2024","Sat Jan 06 01:02:27 IST 2024","31918","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Medium to cart Qty - 1",""
"passed","Sat Jan 06 01:01:25 IST 2024","Sat Jan 06 01:01:55 IST 2024","30535","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Small to cart Qty - 4",""
"passed","Sat Jan 06 01:03:31 IST 2024","Sat Jan 06 01:04:02 IST 2024","31454","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Large to cart Qty - 4",""
"passed","Sat Jan 06 01:03:04 IST 2024","Sat Jan 06 01:03:36 IST 2024","31811","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Large to cart Qty - 2",""
"passed","Sat Jan 06 01:01:27 IST 2024","Sat Jan 06 01:02:00 IST 2024","33507","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Small to cart Qty - 8",""
"passed","Sat Jan 06 01:02:00 IST 2024","Sat Jan 06 01:02:32 IST 2024","32381","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Medium to cart Qty - 2",""
"passed","Sat Jan 06 00:59:56 IST 2024","Sat Jan 06 01:00:26 IST 2024","30057","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Extra Small to cart Qty - 1",""
"passed","Sat Jan 06 01:02:27 IST 2024","Sat Jan 06 01:02:59 IST 2024","31931","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Medium to cart Qty - 4",""
"passed","Sat Jan 06 01:00:26 IST 2024","Sat Jan 06 01:00:53 IST 2024","26660","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Extra Small to cart Qty - 4",""
"passed","Sat Jan 06 01:04:07 IST 2024","Sat Jan 06 01:04:36 IST 2024","28954","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Extra Large to cart Qty - 2",""
"passed","Sat Jan 06 01:04:41 IST 2024","Sat Jan 06 01:05:13 IST 2024","31255","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Extra Large to cart Qty - 8",""
"passed","Sat Jan 06 01:00:55 IST 2024","Sat Jan 06 01:01:27 IST 2024","32010","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Small to cart Qty - 2",""
"passed","Sat Jan 06 01:03:36 IST 2024","Sat Jan 06 01:04:07 IST 2024","31206","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Large to cart Qty - 8",""
"passed","Sat Jan 06 01:04:36 IST 2024","Sat Jan 06 01:05:09 IST 2024","32585","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Extra Large to cart Qty - 4",""
"passed","Sat Jan 06 01:00:53 IST 2024","Sat Jan 06 01:01:25 IST 2024","32014","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Small to cart Qty - 1",""
"passed","Sat Jan 06 00:59:56 IST 2024","Sat Jan 06 01:00:26 IST 2024","30104","chromium","cart\as600\allsizes\as600allsize.spec.ts","","","","Add all Skus of size Extra Small to cart Qty - 2",""
