"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 22 18:27:13 IST 2023","Fri Dec 22 18:27:30 IST 2023","16896","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on MacBook Air 2020 13 visual regression testing amfball","","","clientreview on MacBook Air 2020 13 visual regression testing",""
"passed","Fri Dec 22 18:20:39 IST 2023","Fri Dec 22 18:21:28 IST 2023","48366","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Microsoft Surface visual regression testing amfball","","","better_pricing on Microsoft Surface visual regression testing",""
"passed","Fri Dec 22 17:36:26 IST 2023","Fri Dec 22 17:36:56 IST 2023","29668","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Desktop Safari visual regression testing amfball","","","product_section on Desktop Safari visual regression testing",""
"passed","Fri Dec 22 17:34:35 IST 2023","Fri Dec 22 17:35:00 IST 2023","25640","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Desktop Safari visual regression testing amfball","","","FreeSampleForm on Desktop Safari visual regression testing",""
"passed","Fri Dec 22 17:32:32 IST 2023","Fri Dec 22 17:32:50 IST 2023","17682","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Desktop Edge HiDPI visual regression testing amfball","","","HeroSection on Desktop Edge HiDPI amhr_1",""
"passed","Fri Dec 22 17:31:55 IST 2023","Fri Dec 22 17:32:13 IST 2023","17988","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on MacBook Air 2020 13 visual regression testing amfball","","","HeroSection on MacBook Air 2020 13 amhr_1",""
"passed","Fri Dec 22 17:35:00 IST 2023","Fri Dec 22 17:35:22 IST 2023","21716","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Desktop Chrome visual regression testing amfball","","","FreeSampleForm on Desktop Chrome visual regression testing",""
"passed","Fri Dec 22 18:22:09 IST 2023","Fri Dec 22 18:22:50 IST 2023","41639","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Desktop Chrome visual regression testing amfball","","","better_pricing on Desktop Chrome visual regression testing",""
"passed","Fri Dec 22 18:30:21 IST 2023","Fri Dec 22 18:30:37 IST 2023","16571","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Desktop Safari visual regression testing amfball","","","footer on Desktop Safari visual regression testing",""
"passed","Fri Dec 22 17:35:20 IST 2023","Fri Dec 22 17:35:39 IST 2023","18945","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on ultrawide FHD visual regression testing amfball","","","FreeSampleForm on ultrawide FHD visual regression testing",""
"passed","Fri Dec 22 18:28:57 IST 2023","Fri Dec 22 18:29:14 IST 2023","17286","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on ultrawide FHD visual regression testing amfball","","","clientreview on ultrawide FHD visual regression testing",""
"passed","Fri Dec 22 18:28:03 IST 2023","Fri Dec 22 18:28:21 IST 2023","17259","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Desktop Safari visual regression testing amfball","","","clientreview on Desktop Safari visual regression testing",""
"passed","Fri Dec 22 18:24:23 IST 2023","Fri Dec 22 18:25:04 IST 2023","40898","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Macbook Pro 15 visual regression testing amfball","","","specialtraits on Macbook Pro 15 visual regression testing",""
"passed","Fri Dec 22 18:21:28 IST 2023","Fri Dec 22 18:22:09 IST 2023","40902","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Desktop Safari visual regression testing amfball","","","better_pricing on Desktop Safari visual regression testing",""
"passed","Fri Dec 22 18:24:23 IST 2023","Fri Dec 22 18:25:05 IST 2023","41476","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Desktop Safari visual regression testing amfball","","","specialtraits on Desktop Safari visual regression testing",""
"passed","Fri Dec 22 17:37:25 IST 2023","Fri Dec 22 17:37:45 IST 2023","19889","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on ultrawide FHD visual regression testing amfball","","","product_section on ultrawide FHD visual regression testing",""
"passed","Fri Dec 22 18:25:04 IST 2023","Fri Dec 22 18:25:46 IST 2023","42479","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Desktop Edge HiDPI visual regression testing amfball","","","specialtraits on Desktop Edge HiDPI visual regression testing",""
"passed","Fri Dec 22 17:34:34 IST 2023","Fri Dec 22 17:34:54 IST 2023","20233","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Macbook Pro 15 visual regression testing amfball","","","FreeSampleForm on Macbook Pro 15 visual regression testing",""
"passed","Fri Dec 22 18:30:05 IST 2023","Fri Dec 22 18:30:21 IST 2023","16046","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Macbook Pro 15 visual regression testing amfball","","","footer on Macbook Pro 15 visual regression testing",""
"passed","Fri Dec 22 17:35:56 IST 2023","Fri Dec 22 17:36:26 IST 2023","30166","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Microsoft Surface visual regression testing amfball","","","product_section on Microsoft Surface visual regression testing",""
"passed","Fri Dec 22 18:28:39 IST 2023","Fri Dec 22 18:28:56 IST 2023","17614","chromium","pages\landingPage\freesample.spec.ts","Amerisano Freebox on Desktop Chrome visual regression testing amfball","","","clientreview on Desktop Chrome visual regression testing",""
